Date,Description,Category,Amount
2026-02-01,TechCorp Salary,Income,5000.0
2026-02-02,Apex Properties Rent,Rent,-1500.0
2026-02-04,Whole Foods Market,Groceries,-135.2
2026-02-05,Netflix Subscription,Entertainment,-15.49
2026-02-07,City Water Utility,Utilities,-45.5
2026-02-09,Starbucks Coffee,Dining,-5.5
2026-02-12,Best Buy Electronics,Shopping,-250.0
2026-02-14,McDonald's,Dining,-12.8
2026-02-18,Kroger Grocery,Groceries,-70.1
2026-02-20,eBay Sale Payout,Income,120.0
2026-02-22,Spotify Premium,Entertainment,-10.99
2026-02-24,Amazon.com Purchase,Shopping,-89.99
2026-02-26,Shell Gas Station,Transportation,-45.5
2026-02-28,Subway Sandwiches,Dining,-9.5
